Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.998431396484,-3.1,0,926,5,126,1243
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.998431396484,-1.0,0,3025,0,403,4032
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.998431396484,-2.32982844813,3,3017,6,402,4032
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,0.998431396484,-2.22,0,1409,1,190,1882
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.998431396484,-0.581984317169,1,3024,2,401,4032
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,0.998431396484,0.720920597058,4,13559,0,1589,15902
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realTraffic/speed_7578.csv,0.998431396484,-4.0,0,842,0,116,1127
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.998431396484,-1.14285985122,1,3082,0,345,4032
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.998431396484,-0.361984317169,1,3025,1,401,4032
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realTraffic/TravelTime_451.csv,0.998431396484,-1.0,0,1621,0,217,2162
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,0.998431396484,0.829925807605,3,13514,0,1584,15851
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.998431396484,-2.0,0,3026,0,402,4032
